TABLE NO.  2
 NUM         EPRED       IPRED       NPDE        EWRES       DV          PRED        RES         WRES
  1.1800E+02  1.7079E+02  1.0601E+02 -1.3408E+00 -1.2014E+00  7.8073E+01  1.7230E+02 -9.4226E+01 -1.0902E+00
  1.1900E+02  1.5205E+02  9.3666E+01 -7.2791E-01 -7.6085E-01  8.1808E+01  1.5176E+02 -6.9949E+01 -6.2215E-01
  1.2000E+02  1.3239E+02  8.2381E+01  1.0655E+00  1.2697E+00  1.2699E+02  1.3134E+02 -4.3458E+00  1.3972E+00
  1.2100E+02  1.1647E+02  7.3524E+01 -7.9491E-01 -9.6394E-01  5.8464E+01  1.1532E+02 -5.6859E+01 -8.8221E-01
  1.2200E+02  9.0406E+01  5.8605E+01 -3.6738E-01 -4.0504E-01  5.7314E+01  8.9623E+01 -3.2309E+01 -4.0650E-01
  1.2300E+02  6.1550E+01  3.9877E+01 -2.1898E-01 -2.7559E-01  4.0970E+01  6.0979E+01 -2.0009E+01 -3.5653E-01
  1.2400E+02  3.9793E+01  2.2609E+01 -1.7637E-01 -3.1293E-01  2.2837E+01  3.8780E+01 -1.5943E+01 -3.3649E-01
  1.2500E+02  3.4752E+01  1.8427E+01 -4.2158E-01 -4.7543E-01  1.7218E+01  3.3671E+01 -1.6453E+01 -4.6952E-01
  1.2900E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3000E+02  9.0611E+01  9.6980E+01  1.5548E+00  1.7058E+00  1.2299E+02  9.1498E+01  3.1492E+01  1.6659E+00
  1.3100E+02  1.1650E+02  1.1495E+02 -1.9322E+00 -1.6516E+00  7.1372E+01  1.1931E+02 -4.7937E+01 -1.7339E+00
  1.3200E+02  1.2964E+02  1.1752E+02  5.1484E-01  3.6201E-01  1.2953E+02  1.3243E+02 -2.9013E+00  2.6264E-01
  1.3300E+02  1.3102E+02  1.1388E+02 -5.0154E-02 -1.2550E-01  1.1571E+02  1.3268E+02 -1.6969E+01 -1.7143E-01
  1.3400E+02  1.2333E+02  1.0212E+02 -8.3652E-02 -1.6061E-01  1.0571E+02  1.2195E+02 -1.6243E+01 -1.0700E-01
  1.3500E+02  1.1140E+02  9.1489E+01 -1.3205E+00 -1.2000E+00  7.0693E+01  1.0822E+02 -3.7530E+01 -1.1208E+00
  1.3600E+02  1.0028E+02  8.3043E+01  2.5069E-02 -1.0946E-01  8.6396E+01  9.6418E+01 -1.0022E+01  1.0794E-02
  1.3700E+02  8.9259E+01  7.5180E+01  8.3555E-03 -6.8899E-02  7.8027E+01  8.5303E+01 -7.2763E+00  4.5212E-02
  1.3800E+02  7.1434E+01  6.2627E+01  9.2039E-02 -4.1529E-02  6.3914E+01  6.8004E+01 -4.0903E+00  3.2069E-02
  1.3900E+02  4.8659E+01  4.5406E+01  1.0954E+00  9.3186E-01  5.4980E+01  4.6162E+01  8.8183E+00  1.0067E+00
  1.4000E+02  3.2096E+01  3.0428E+01  8.5359E-01  7.5865E-01  3.5656E+01  2.9820E+01  5.8360E+00  8.8256E-01
  1.4100E+02  2.8285E+01  2.6555E+01 -4.8642E-01 -5.4974E-01  2.3520E+01  2.6036E+01 -2.5165E+00 -5.0443E-01
  1.4200E+02  1.6547E+01  1.4756E+01  2.8802E-01  1.3621E-01  1.5871E+01  1.4576E+01  1.2946E+00  3.5771E-01
  1.4500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4600E+02  9.1207E+01  9.5790E+01  7.7219E-01  7.2294E-01  1.1190E+02  9.2895E+01  1.9005E+01  8.0388E-01
  1.4700E+02  1.1747E+02  1.3389E+02  1.5943E-01  5.4446E-02  1.3308E+02  1.2251E+02  1.0566E+01 -3.1725E-02
  1.4800E+02  1.2455E+02  1.4734E+02  1.7637E-01  1.1836E-01  1.4562E+02  1.3017E+02  1.5448E+01 -2.4358E-02
  1.4900E+02  1.2586E+02  1.5299E+02 -4.9585E-01 -5.9907E-01  1.3095E+02  1.3080E+02  1.5101E-01 -7.2463E-01
  1.5000E+02  1.1800E+02  1.4687E+02  1.3830E+00  1.4312E+00  1.7563E+02  1.2033E+02  5.5301E+01  1.3060E+00
  1.5100E+02  1.0754E+02  1.3445E+02  5.4367E-01  4.7856E-01  1.4028E+02  1.0813E+02  3.2151E+01  4.5481E-01
  1.5200E+02  9.5387E+01  1.1912E+02 -8.0642E-01 -7.0297E-01  1.0198E+02  9.4917E+01  7.0625E+00 -6.5361E-01
  1.5300E+02  8.5064E+01  1.0596E+02  9.1537E-01  8.6043E-01  1.1918E+02  8.4203E+01  3.4977E+01  9.6579E-01
  1.5400E+02  6.7317E+01  8.3664E+01  5.2440E-01  4.1811E-01  8.8820E+01  6.6397E+01  2.2423E+01  5.6293E-01
  1.5500E+02  4.5776E+01  5.7703E+01  8.2977E-01  7.4605E-01  6.4638E+01  4.5000E+01  1.9638E+01  8.9401E-01
  1.5600E+02  2.9431E+01  3.9132E+01  1.5834E+00  1.6374E+00  4.9214E+01  2.8464E+01  2.0750E+01  1.8243E+00
  1.5700E+02  2.5686E+01  3.4932E+01  4.4914E-01  3.6131E-01  3.6910E+01  2.4701E+01  1.2209E+01  5.0341E-01
  1.5800E+02  1.4657E+01  2.1218E+01 -1.0364E+00 -8.9900E-01  1.8914E+01  1.3730E+01  5.1838E+00 -7.4654E-01
  1.6100E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6200E+02  2.7728E+02  2.8108E+02  4.6770E-01  1.8674E-01  3.0860E+02  2.6287E+02  4.5726E+01  4.4719E-01
  1.6300E+02  3.7903E+02  4.2091E+02  4.8642E-01  4.4487E-01  4.5953E+02  3.7379E+02  8.5740E+01  4.9637E-01
  1.6400E+02  3.9494E+02  4.4934E+02  3.9434E-01  3.8224E-01  4.7872E+02  3.9208E+02  8.6644E+01  3.8362E-01
  1.6500E+02  4.0243E+02  4.7454E+02 -1.6712E-02 -1.9132E-02  4.6283E+02  4.0120E+02  6.1635E+01 -6.9136E-02
  1.6600E+02  3.7764E+02  4.5678E+02  3.6738E-01  2.3808E-01  4.6234E+02  3.7447E+02  8.7866E+01  1.9975E-01
  1.6700E+02  3.3440E+02  4.0811E+02  2.4473E-01  5.1496E-03  3.9784E+02  3.2925E+02  6.8590E+01  1.4522E-02
  1.6800E+02  2.9336E+02  3.5884E+02  1.2566E-01  1.4027E-01  3.5965E+02  2.8796E+02  7.1685E+01  1.9304E-01
  1.6900E+02  2.5963E+02  3.1802E+02  7.7219E-01  7.8177E-01  3.5421E+02  2.5486E+02  9.9353E+01  8.7031E-01
  1.7000E+02  2.0788E+02  2.5604E+02 -4.4914E-01 -4.5955E-01  2.3200E+02  2.0469E+02  2.7315E+01 -3.7741E-01
  1.7100E+02  1.4482E+02  1.8240E+02  2.4747E+00  3.0119E+00  2.6884E+02  1.4269E+02  1.2615E+02  3.1454E+00
  1.7200E+02  9.7175E+01  1.2799E+02  2.2754E-01  1.0026E-01  1.2774E+02  9.4170E+01  3.3570E+01  1.7831E-01
  1.7300E+02  8.5686E+01  1.1457E+02  1.3408E+00  1.3667E+00  1.3750E+02  8.2551E+01  5.4949E+01  1.4762E+00
  1.7400E+02  4.9958E+01  6.8436E+01 -1.2566E-01 -2.5558E-01  6.6631E+01  4.7054E+01  1.9577E+01 -2.5314E-01
  1.7500E+02  3.0794E+01  4.1745E+01 -1.8808E+00 -1.7283E+00  3.1582E+01  2.7938E+01  3.6440E+00 -1.8097E+00
  1.7600E+02  1.9214E+01  2.5425E+01  2.1043E-01  8.4952E-02  2.7608E+01  1.6567E+01  1.1041E+01  2.9121E-01
  1.7700E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7800E+02  1.8000E+02  1.8873E+02  9.9446E-01  8.7485E-01  2.1187E+02  1.8324E+02  2.8634E+01  8.3450E-01
  1.7900E+02  2.2846E+02  2.2284E+02 -1.4051E+00 -1.3680E+00  1.5055E+02  2.3745E+02 -8.6896E+01 -1.4405E+00
  1.8000E+02  2.4946E+02  2.2875E+02  1.2265E+00  1.2128E+00  2.9018E+02  2.6040E+02  2.9776E+01  1.0440E+00
  1.8100E+02  2.5646E+02  2.2310E+02 -9.2814E-01 -8.3561E-01  1.8352E+02  2.6670E+02 -8.3183E+01 -8.8446E-01
  1.8200E+02  2.4709E+02  2.0006E+02 -8.1804E-01 -7.8464E-01  1.7179E+02  2.5274E+02 -8.0949E+01 -7.5747E-01
  1.8300E+02  2.2440E+02  1.7513E+02  1.8487E-01  1.1073E-01  1.9376E+02  2.2610E+02 -3.2335E+01  1.6041E-01
  1.8400E+02  2.0312E+02  1.5621E+02 -8.0642E-01 -8.2272E-01  1.3428E+02  2.0313E+02 -6.8848E+01 -7.6473E-01
  1.8500E+02  1.7993E+02  1.3723E+02  1.2265E+00  1.1264E+00  1.9071E+02  1.7929E+02  1.1419E+01  1.1644E+00
  1.8600E+02  1.4755E+02  1.1158E+02 -2.6198E-01 -3.9512E-01  1.0919E+02  1.4704E+02 -3.7848E+01 -4.0518E-01
  1.8700E+02  1.0639E+02  7.8099E+01 -1.0954E+00 -9.7902E-01  6.4571E+01  1.0600E+02 -4.1433E+01 -1.0302E+00
  1.8800E+02  7.1152E+01  4.6966E+01 -2.7064E-01 -3.5137E-01  4.8188E+01  6.9551E+01 -2.1363E+01 -3.3491E-01
  1.8900E+02  6.3051E+01  3.9696E+01 -1.8808E+00 -1.5869E+00  2.4610E+01  6.1159E+01 -3.6549E+01 -1.5729E+00
  1.9000E+02  3.8863E+01  2.0533E+01  4.0338E-01  1.7250E-01  2.4905E+01  3.6907E+01 -1.2002E+01  3.0746E-01
  1.9100E+02  2.5650E+01  1.1708E+01 -3.9434E-01 -3.6073E-01  1.1143E+01  2.3667E+01 -1.2524E+01 -2.1755E-01
